epoch;train loss;train acc;val loss;val acc
1;1,7289;36,5200;1,3175;48,8000
2;1,2769;53,1600;1,1814;55,6000
3;1,1650;56,9400;1,1053;58,8000
4;1,0929;59,8600;1,0788;62,0000
5;1,0415;61,8800;1,0009;64,4000
6;1,0042;63,7400;0,9682;65,2000
7;0,9667;65,4400;0,9251;68,8000
8;0,9442;65,9200;0,9259;69,6000
9;0,9199;67,1200;0,9230;69,6000
10;0,8915;68,1000;0,8791;70,0000
11;0,8765;67,9400;0,8520;69,2000
12;0,8499;69,6000;0,8110;72,4000
13;0,8333;70,0400;0,8341;69,2000
14;0,8109;71,1800;0,8682;68,8000
15;0,8029;70,9800;0,8200;74,4000
16;0,7879;71,3200;0,8177;73,2000
17;0,7632;73,0200;0,7625;75,2000
18;0,7399;73,9000;0,7558;74,0000
19;0,7227;74,6000;0,7458;76,0000
20;0,7116;74,6000;0,8056;71,6000
21;0,7048;74,2800;0,7545;75,6000
22;0,6903;76,0800;0,6913;77,6000
23;0,6693;76,2600;0,7250;76,4000
24;0,6539;76,6600;0,7091;76,0000
25;0,6493;76,4800;0,6847;75,6000
26;0,6469;77,1000;0,7078;77,6000
27;0,6251;77,6800;0,7043;76,0000
28;0,6129;78,6600;0,7281;75,2000
29;0,6127;78,0000;0,8082;71,2000
30;0,5989;78,3200;0,6526;77,6000
31;0,5935;79,3000;0,7363;75,2000
32;0,5878;78,8200;0,7316;76,4000
33;0,5818;79,5600;0,6582;79,2000
34;0,5638;79,6600;0,6474;77,6000
35;0,5766;79,3800;0,7421;76,0000
36;0,5536;80,3800;0,7138;75,6000
37;0,5631;79,5000;0,6612;78,8000
38;0,5498;80,5200;0,6660;77,2000
39;0,5319;81,3600;0,6322;78,0000
40;0,5317;81,3600;0,7040;78,8000
41;0,5300;81,1800;0,6550;78,0000
42;0,5249;81,9000;0,6565;76,8000
43;0,5173;81,7800;0,6754;78,8000
44;0,5209;81,7200;0,6042;80,4000
45;0,4973;82,6600;0,6323;78,8000
46;0,5092;82,2400;0,6811;79,2000
47;0,5026;82,5200;0,6167;79,6000
48;0,4975;82,5000;0,6213;78,0000
49;0,4902;82,8800;0,6466;78,8000
50;0,4915;82,9400;0,6385;80,0000
51;0,4679;84,0400;0,6095;80,0000
52;0,4664;83,5800;0,6064;79,2000
53;0,4743;83,1000;0,6252;79,6000
54;0,4635;83,8000;0,5999;79,6000
55;0,4599;83,9600;0,6354;79,2000
56;0,4642;84,2200;0,5949;79,6000
57;0,4533;84,7400;0,5942;80,0000
58;0,4295;85,9600;0,5875;81,2000
59;0,4444;84,8800;0,6011;80,4000
60;0,4256;85,4400;0,6305;78,4000
61;0,4357;85,0000;0,6001;80,8000
62;0,4152;86,1600;0,6244;77,6000
63;0,4244;85,2600;0,6158;78,4000
64;0,4064;86,0200;0,6743;79,6000
65;0,4092;86,0200;0,5669;80,8000
66;0,4150;85,8600;0,6075;80,4000
67;0,4041;86,1800;0,6176;80,0000
68;0,3875;87,0000;0,5571;81,6000
69;0,3799;87,4200;0,6889;78,8000
70;0,3932;86,4600;0,7391;77,6000
71;0,3890;86,6400;0,5624;82,4000
72;0,3878;87,2800;0,5957;83,6000
73;0,3794;87,3800;0,5970;80,8000
74;0,3799;87,1000;0,6045;82,4000
75;0,3858;87,0600;0,5645;83,6000
76;0,3598;87,8400;0,5872;82,0000
77;0,3585;88,4000;0,6057;80,4000
78;0,3553;88,1200;0,5545;81,6000
79;0,3512;88,6200;0,5461;82,8000
80;0,3373;88,9000;0,5703;82,4000
81;0,3489;88,5200;0,6914;75,2000
82;0,3473;88,7600;0,6568;79,6000
83;0,3364;89,2000;0,5916;82,0000
84;0,3261;89,3200;0,7436;78,8000
85;0,3451;88,7000;0,6460;81,2000
86;0,3273;88,9400;0,6671;80,8000
87;0,3480;88,1200;0,6168;80,4000
88;0,3140;89,5800;0,6105;80,4000
89;0,3315;89,1600;0,6522;78,8000
90;0,3149;89,3800;0,5866;83,6000
91;0,3098;89,9000;0,5635;83,6000
92;0,3057;89,8400;0,5756;80,4000
93;0,3108;89,7600;0,5461;81,2000
94;0,3165;89,6600;0,5666;82,4000
95;0,3046;90,1800;0,6066;82,4000
96;0,2937;90,7000;0,6028;82,4000
97;0,2957;90,6200;0,5671;82,8000
98;0,3037;90,3800;0,5486;82,8000
99;0,2861;90,4800;0,8650;74,8000
100;0,3032;89,7800;0,5661;80,0000
101;0,2821;90,7600;0,6111;81,2000
102;0,2672;91,4400;0,5707;82,4000
103;0,2855;90,3000;0,5645;80,4000
104;0,2758;91,3800;0,5618;82,0000
105;0,2730;91,0000;0,5886;82,4000
106;0,2666;91,7800;0,5362;83,2000
107;0,2912;90,2600;0,5763;84,0000
108;0,2833;90,5200;0,6193;81,2000
109;0,2687;91,0600;0,5652;84,0000
110;0,2558;91,9200;0,5694;84,0000
111;0,2693;90,8800;0,6643;80,4000
112;0,2539;92,1000;0,5897;81,6000
113;0,2492;92,0600;0,5631;85,2000
114;0,2557;91,9800;0,6091;82,0000
115;0,2495;92,0200;0,5816;82,0000
116;0,2585;91,8000;0,6541;80,0000
117;0,2554;91,7000;0,5905;82,4000
118;0,2444;92,1000;0,6385;82,0000
119;0,2495;91,9000;0,5849;82,8000
120;0,2545;91,3800;0,5771;82,0000
121;0,2340;92,8200;0,5813;82,0000
122;0,2409;92,3000;0,5401;83,6000
123;0,2339;92,7000;0,5933;82,8000
124;0,2442;92,1800;0,6135;81,6000
125;0,2477;92,2800;0,6253;80,8000
126;0,2263;93,0000;0,5602;81,6000
127;0,2238;92,8800;0,6160;81,6000
128;0,2238;92,7800;0,6272;78,4000
129;0,2190;92,7600;0,6841;79,6000
130;0,2282;92,4400;0,6274;78,4000
131;0,2271;92,9600;0,6276;82,8000
132;0,2204;92,9200;0,5727;82,0000
133;0,2228;92,9400;0,5499;84,4000
134;0,2158;93,1200;0,6049;80,8000
135;0,2171;93,1400;0,6028;82,8000
136;0,2156;93,1800;0,6144;81,6000
137;0,2101;93,3600;0,6353;81,6000
138;0,2135;92,9800;0,5706;82,0000
139;0,1996;93,9000;0,7217;80,8000
